ts,zemlja,gorivo,cena_eur
2026-07-26 20:19 UTC,North Macedonia,lpg,0.76
2026-07-26 20:19 UTC,Hungary,petrol95,1.65
2026-07-26 20:19 UTC,Hungary,diesel,1.69
2026-07-26 20:19 UTC,Hungary,lpg,1.01
2026-07-26 20:19 UTC,Bulgaria,petrol95,1.477
2026-07-26 20:19 UTC,Bulgaria,diesel,1.578
2026-07-26 20:19 UTC,Albania,petrol95,1.82
2026-07-26 20:19 UTC,Albania,diesel,1.85
2026-07-26 20:19 UTC,Albania,lpg,0.69
2026-07-26 20:19 UTC,Greece,petrol95,1.977
2026-07-26 20:19 UTC,Greece,diesel,1.95
2026-07-26 20:19 UTC,Romania,petrol95,1.721
2026-07-26 20:19 UTC,Romania,diesel,1.888
2026-07-26 20:19 UTC,Kosovo,petrol95,1.49
2026-07-26 20:19 UTC,Kosovo,diesel,1.5
2026-07-26 20:59 UTC,Serbia,petrol95,1.7
2026-07-26 20:59 UTC,Serbia,diesel,1.91
2026-07-26 20:59 UTC,Serbia,lpg,0.9
2026-07-26 20:59 UTC,Croatia,petrol95,1.67
2026-07-26 20:59 UTC,Croatia,diesel,1.87
2026-07-26 20:59 UTC,Croatia,lpg,0.0
2026-07-26 20:59 UTC,Bosnia and Herzegovina,petrol95,1.45
2026-07-26 20:59 UTC,Bosnia and Herzegovina,diesel,1.6
2026-07-26 20:59 UTC,Bosnia and Herzegovina,lpg,0.7
2026-07-26 20:59 UTC,Montenegro,petrol95,1.65
2026-07-26 20:59 UTC,Montenegro,diesel,1.65
2026-07-26 20:59 UTC,Slovenia,petrol95,1.65
2026-07-26 20:59 UTC,Slovenia,diesel,1.85
2026-07-26 20:59 UTC,Slovenia,lpg,0.94
2026-07-26 20:59 UTC,North Macedonia,petrol95,1.46
2026-07-26 20:59 UTC,North Macedonia,diesel,1.53
2026-07-26 20:59 UTC,North Macedonia,lpg,0.76
2026-07-26 20:59 UTC,Hungary,petrol95,1.65
2026-07-26 20:59 UTC,Hungary,diesel,1.69
2026-07-26 20:59 UTC,Hungary,lpg,1.01
2026-07-26 20:59 UTC,Bulgaria,petrol95,1.477
2026-07-26 20:59 UTC,Bulgaria,diesel,1.578
2026-07-26 20:59 UTC,Albania,petrol95,1.82
2026-07-26 20:59 UTC,Albania,diesel,1.85
